valid_start,value,lat,long,ele
1462240800,17.7,-31.9192,115.8728,24.9
1462244400,19.1,-31.9192,115.8728,24.9
1462248000,20.0,-31.9192,115.8728,24.9
1462251600,20.2,-31.9192,115.8728,24.9
1462255200,20.5,-31.9192,115.8728,24.9
1462258800,20.5,-31.9192,115.8728,24.9
1462262400,20.4,-31.9192,115.8728,24.9
1462266000,20.0,-31.9192,115.8728,24.9
1462269600,18.7,-31.9192,115.8728,24.9
1462273200,17.5,-31.9192,115.8728,24.9
1462276800,16.9,-31.9192,115.8728,24.9
1462280400,16.2,-31.9192,115.8728,24.9
1462284000,13.7,-31.9192,115.8728,24.9
1462287600,12.7,-31.9192,115.8728,24.9
1462197600,27.5,-12.4239,130.8925,30.4
1462201200,27.4,-12.4239,130.8925,30.4
1462204800,26.4,-12.4239,130.8925,30.4
1462208400,25.4,-12.4239,130.8925,30.4
1462212000,25.1,-12.4239,130.8925,30.4
1462215600,24.8,-12.4239,130.8925,30.4
1462219200,25.0,-12.4239,130.8925,30.4
1462222800,24.9,-12.4239,130.8925,30.4
1462226400,25.8,-12.4239,130.8925,30.4
1462230000,27.7,-12.4239,130.8925,30.4
1462233600,28.9,-12.4239,130.8925,30.4
1462237200,30.1,-12.4239,130.8925,30.4
1462240800,31.0,-12.4239,130.8925,30.4
1462244400,32.5,-12.4239,130.8925,30.4
1462248000,31.3,-12.4239,130.8925,30.4
1462251600,25.4,-12.4239,130.8925,30.4
1462255200,25.0,-12.4239,130.8925,30.4
1462258800,25.5,-12.4239,130.8925,30.4
1462262400,25.7,-12.4239,130.8925,30.4
1462266000,25.5,-12.4239,130.8925,30.4
1462269600,25.7,-12.4239,130.8925,30.4
1462273200,25.8,-12.4239,130.8925,30.4
1462276800,26.0,-12.4239,130.8925,30.4
1462280400,26.1,-12.4239,130.8925,30.4
1462284000,25.9,-12.4239,130.8925,30.4
1462197600,18.3,-23.7951,133.889,546.0
1462201200,17.6,-23.7951,133.889,546.0
1462204800,17.2,-23.7951,133.889,546.0
1462208400,17.2,-23.7951,133.889,546.0
1462212000,17.0,-23.7951,133.889,546.0
1462215600,16.5,-23.7951,133.889,546.0
1462219200,16.2,-23.7951,133.889,546.0
1462222800,16.3,-23.7951,133.889,546.0
1462226400,16.5,-23.7951,133.889,546.0
1462230000,18.0,-23.7951,133.889,546.0
1462233600,19.5,-23.7951,133.889,546.0
1462237200,21.6,-23.7951,133.889,546.0
1462240800,23.4,-23.7951,133.889,546.0
1462244400,25.4,-23.7951,133.889,546.0
1462248000,26.2,-23.7951,133.889,546.0
1462251600,27.2,-23.7951,133.889,546.0
1462255200,26.9,-23.7951,133.889,546.0
1462258800,26.7,-23.7951,133.889,546.0
1462262400,26.2,-23.7951,133.889,546.0
1462266000,22.3,-23.7951,133.889,546.0
1462269600,20.2,-23.7951,133.889,546.0
1462273200,18.3,-23.7951,133.889,546.0
1462276800,18.5,-23.7951,133.889,546.0
1462280400,17.0,-23.7951,133.889,546.0
1462284000,16.1,-23.7951,133.889,546.0
1462197600,23.5,-16.8736,145.7458,2.22
1462201200,24.0,-16.8736,145.7458,2.22
1462204800,23.2,-16.8736,145.7458,2.22
1462208400,23.0,-16.8736,145.7458,2.22
1462212000,22.5,-16.8736,145.7458,2.22
1462215600,22.0,-16.8736,145.7458,2.22
1462219200,22.2,-16.8736,145.7458,2.22
1462222800,22.6,-16.8736,145.7458,2.22
1462226400,25.1,-16.8736,145.7458,2.22
1462230000,26.3,-16.8736,145.7458,2.22
1462233600,27.9,-16.8736,145.7458,2.22
1462237200,28.7,-16.8736,145.7458,2.22
1462240800,29.5,-16.8736,145.7458,2.22
1462244400,29.2,-16.8736,145.7458,2.22
1462248000,29.5,-16.8736,145.7458,2.22
1462251600,29.7,-16.8736,145.7458,2.22
1462255200,28.8,-16.8736,145.7458,2.22
1462258800,28.6,-16.8736,145.7458,2.22
1462262400,26.6,-16.8736,145.7458,2.22
1462266000,25.8,-16.8736,145.7458,2.22
1462269600,25.4,-16.8736,145.7458,2.22
1462273200,24.8,-16.8736,145.7458,2.22
1462276800,23.9,-16.8736,145.7458,2.22
1462280400,23.7,-16.8736,145.7458,2.22
1462197600,21.8,-27.4808,153.0389,8.13
1462201200,21.5,-27.4808,153.0389,8.13
1462204800,21.5,-27.4808,153.0389,8.13
1462208400,21.5,-27.4808,153.0389,8.13
1462212000,20.2,-27.4808,153.0389,8.13
1462215600,19.6,-27.4808,153.0389,8.13
1462219200,19.3,-27.4808,153.0389,8.13
1462222800,19.5,-27.4808,153.0389,8.13
1462226400,20.2,-27.4808,153.0389,8.13
1462230000,23.6,-27.4808,153.0389,8.13
1462233600,24.8,-27.4808,153.0389,8.13
1462237200,25.0,-27.4808,153.0389,8.13
1462240800,26.5,-27.4808,153.0389,8.13
1462244400,28.4,-27.4808,153.0389,8.13
1462248000,28.5,-27.4808,153.0389,8.13
1462251600,29.4,-27.4808,153.0389,8.13
1462255200,28.4,-27.4808,153.0389,8.13
1462258800,26.5,-27.4808,153.0389,8.13
1462262400,24.7,-27.4808,153.0389,8.13
1462266000,23.4,-27.4808,153.0389,8.13
1462269600,22.0,-27.4808,153.0389,8.13
1462273200,23.6,-27.4808,153.0389,8.13
1462276800,22.5,-27.4808,153.0389,8.13
1462280400,22.7,-27.4808,153.0389,8.13
1462197600,17.3,-42.8897,147.3278,50.5
1462201200,17.5,-42.8897,147.3278,50.5
1462204800,17.7,-42.8897,147.3278,50.5
1462208400,16.2,-42.8897,147.3278,50.5
1462212000,14.7,-42.8897,147.3278,50.5
1462215600,13.8,-42.8897,147.3278,50.5
1462219200,13.4,-42.8897,147.3278,50.5
1462222800,13.6,-42.8897,147.3278,50.5
1462226400,13.9,-42.8897,147.3278,50.5
1462230000,13.2,-42.8897,147.3278,50.5
1462233600,12.4,-42.8897,147.3278,50.5
1462237200,10.9,-42.8897,147.3278,50.5
1462240800,11.6,-42.8897,147.3278,50.5
1462244400,13.5,-42.8897,147.3278,50.5
1462248000,12.9,-42.8897,147.3278,50.5
1462251600,12.6,-42.8897,147.3278,50.5
1462255200,11.5,-42.8897,147.3278,50.5
1462258800,11.0,-42.8897,147.3278,50.5
1462262400,10.2,-42.8897,147.3278,50.5
1462266000,8.4,-42.8897,147.3278,50.5
1462269600,8.2,-42.8897,147.3278,50.5
1462273200,8.0,-42.8897,147.3278,50.5
1462276800,8.2,-42.8897,147.3278,50.5
1462280400,6.3,-42.8897,147.3278,50.5
1462291200,23.5,-23.4169,119.7989,524.0
1462294800,22.4,-23.4169,119.7989,524.0
1462298400,21.1,-23.4169,119.7989,524.0
1462302000,20.5,-23.4169,119.7989,524.0
1462305600,22.0,-23.4169,119.7989,524.0
1462309200,22.1,-23.4169,119.7989,524.0
1462312800,22.6,-23.4169,119.7989,524.0
1462316400,23.2,-23.4169,119.7989,524.0
1462320000,24.4,-23.4169,119.7989,524.0
1462323600,26.3,-23.4169,119.7989,524.0
1462327200,29.3,-23.4169,119.7989,524.0
1462330800,30.3,-23.4169,119.7989,524.0
1462334400,30.4,-23.4169,119.7989,524.0
1462338000,31.0,-23.4169,119.7989,524.0
1462341600,30.7,-23.4169,119.7989,524.0
1462345200,31.2,-23.4169,119.7989,524.0
1462348800,31.0,-23.4169,119.7989,524.0
1462352400,30.8,-23.4169,119.7989,524.0
1462356000,29.7,-23.4169,119.7989,524.0
1462359600,25.4,-23.4169,119.7989,524.0
1462363200,25.4,-23.4169,119.7989,524.0
1462366800,24.7,-23.4169,119.7989,524.0
1462370400,23.6,-23.4169,119.7989,524.0
1462374000,23.2,-23.4169,119.7989,524.0
1462291200,12.1,-31.9192,115.8728,24.9
1462294800,11.8,-31.9192,115.8728,24.9
1462298400,11.8,-31.9192,115.8728,24.9
1462302000,12.8,-31.9192,115.8728,24.9
1462305600,13.2,-31.9192,115.8728,24.9
1462309200,13.5,-31.9192,115.8728,24.9
1462312800,13.7,-31.9192,115.8728,24.9
1462316400,13.6,-31.9192,115.8728,24.9
1462320000,14.0,-31.9192,115.8728,24.9
1462323600,15.3,-31.9192,115.8728,24.9
1462327200,17.7,-31.9192,115.8728,24.9
1462330800,20.0,-31.9192,115.8728,24.9
1462334400,21.3,-31.9192,115.8728,24.9
1462338000,21.3,-31.9192,115.8728,24.9
1462341600,20.7,-31.9192,115.8728,24.9
1462345200,21.0,-31.9192,115.8728,24.9
1462348800,20.1,-31.9192,115.8728,24.9
1462352400,19.4,-31.9192,115.8728,24.9
1462356000,18.6,-31.9192,115.8728,24.9
1462359600,16.9,-31.9192,115.8728,24.9
1462363200,17.4,-31.9192,115.8728,24.9
1462366800,16.9,-31.9192,115.8728,24.9
1462370400,16.9,-31.9192,115.8728,24.9
1462374000,16.7,-31.9192,115.8728,24.9
1462284000,25.8,-12.4239,130.8925,30.4
1462287600,25.7,-12.4239,130.8925,30.4
1462291200,25.6,-12.4239,130.8925,30.4
1462294800,25.6,-12.4239,130.8925,30.4
1462298400,25.5,-12.4239,130.8925,30.4
1462302000,25.6,-12.4239,130.8925,30.4
1462305600,25.5,-12.4239,130.8925,30.4
1462309200,25.4,-12.4239,130.8925,30.4
1462312800,25.5,-12.4239,130.8925,30.4
1462316400,27.6,-12.4239,130.8925,30.4
1462320000,29.5,-12.4239,130.8925,30.4
1462323600,29.7,-12.4239,130.8925,30.4
1462327200,30.5,-12.4239,130.8925,30.4
1462330800,30.9,-12.4239,130.8925,30.4
1462334400,30.2,-12.4239,130.8925,30.4
1462338000,32.0,-12.4239,130.8925,30.4
